Name,Number,Date,Rating,Runtime
Coach Carter,134,,,
XXX - State of the Union,134,,,
Terminator 2 - Judgment Day,135,,,
Walk Like a Man,135,,,
Pulse,136,,,
The Davinci Code,136,,,
Body Shot,137,,,
Pretty Persuasion,137,,,
Click,138,,,
Jumanji,138,,,
Beethoven's 2nd,139,,,
Casanova,140,,,
The Gridiron Gang,140,,,
Big,141,,,
Earnest Scared Stupid,141,,,
Honey I Shrunk the Kids,142,,,
The Real McCoy,142,,,
The Guardian,143,,,
The Matador,143,,,
Casino Royale,144,,,
Smokey & The Bandit 2,144,,,
Rambo - First Blood 2,145,,,
True Lies,145,,,
Open Season,146,,,
Zoom,146,,,
American Graffiti,147,,,
The Prestige,147,,,
Scary Movie 4,148,,,
When A Stranger Calls,148,,,
Invincible,149,,,
Proof,150,,,
The Illusionist,150,,,
Memoirs of a Geisha,151,,,
The Wedding Singer,151,,,
Jaws III,152,,,
Shakespeare in Love,152,,,
"The Good, The Bad and The Ugly",153,,,
2B Perfectly Honest,154,,,
Stranger Than Fiction,154,,,
Talladega Nights,155,,,
The Scarlet Letter,155,,,
City Slickers II - The Legend of Curley's Gold,156,,,
Facing the Giants,156,,,
Drop Dead Gorgeous,157,,,
Sleepless in Seattle,157,,,
Deuce Bigalow - male Gigolo,158,,,
Rush Hour,158,,,
The Night Listener,158,,,
Jaws III,159,,,
Quigley Down Under,160,,,
The Parent Trap,161,,,
Tim Burton's - The Nightmare Before Christmas,161,,,
Jaws II ,162,,,
Stick It,162,,,
The Holiday,163,,,
Deja Vu,164,,,
Keeping Up With The Steins,164,,,
Striking Distance,165,,,
The Living Daylights,166,,,
Ace Ventura -When Nature Calls,167,,,
Opportunity Knocks,167,,,
The Wild,168,,,
Drowning Mona,169,,,
Sgt. Pepper's Lonely Heart's Club Band,169,,,
The Mummy,170,,,
Tomcats,170,,,
Earnest Goes To Africa,171,,,
The Rock,171,,,
Ghostrider,172,,,
National Lampoon's Adam & Eve,172,,,
Bridge to Terabithia,173,,,
Sleeping With The Enemy,173,,,
Patch Adams,174,,,
Smokey & The Bandit 2,174,,,
Great Balls of Fire,175,,,
The Astronaut's Wife,175,,,
Friends With Money,176,,,
Patch Adams,176,,,
Flash Gordon,177,,,
Wild Hogs,177,,,
Bicentennial Man,178,,,
Smokey & The Bandit 3 ,178,,,
F/X,179,,,
F/X 2,179,,,
Biloxi Blues,180,,,
Ed TV,180,,,
